timestamp,elapsed_s,system_cpu_percent,memory_used_mb,memory_available_mb,memory_used_percent,load_1,load_5,load_15,temperature_c,cpu_frequency_mhz
2026-08-10T16:09:08.116+00:00,1.0,4.02,367.047,3422.766,9.685,1.118,1.091,1.124,52.582,1500.0
2026-08-10T16:09:09.116+00:00,2.0,21.914,373.129,3416.684,9.846,1.118,1.091,1.124,52.582,1500.0
2026-08-10T16:09:10.119+00:00,3.002,32.832,399.105,3390.707,10.531,1.108,1.089,1.123,53.069,1500.0
2026-08-10T16:09:11.116+00:00,4.0,85.39,477.461,3312.352,12.599,1.108,1.089,1.123,53.556,1500.0
2026-08-10T16:09:12.116+00:00,5.0,40.302,519.113,3270.699,13.698,1.108,1.089,1.123,52.095,1500.0
2026-08-10T16:09:13.116+00:00,6.0,0.0,519.113,3270.699,13.698,1.108,1.089,1.123,52.582,1500.0
2026-08-10T16:09:14.116+00:00,7.0,3.25,519.602,3270.211,13.71,1.108,1.089,1.123,51.608,1500.0
2026-08-10T16:09:15.116+00:00,8.0,3.258,519.598,3270.215,13.71,1.019,1.07,1.116,52.095,800.0
2026-08-10T16:09:16.116+00:00,9.0,25.628,538.672,3251.141,14.214,1.019,1.07,1.116,52.095,1500.0
2026-08-10T16:09:17.116+00:00,10.0,14.141,571.387,3218.426,15.077,1.019,1.07,1.116,53.069,1500.0
2026-08-10T16:09:18.116+00:00,11.0,4.03,566.578,3223.234,14.95,1.019,1.07,1.116,52.095,1500.0
2026-08-10T16:09:19.116+00:00,12.0,20.347,569.395,3220.418,15.024,1.019,1.07,1.116,52.582,1500.0
2026-08-10T16:09:20.116+00:00,13.0,28.18,585.672,3204.141,15.454,1.658,1.202,1.159,52.095,1500.0
2026-08-10T16:09:21.116+00:00,14.0,29.455,584.789,3205.023,15.431,1.658,1.202,1.159,52.582,1500.0
2026-08-10T16:09:22.116+00:00,15.0,25.75,585.836,3203.977,15.458,1.658,1.202,1.159,53.069,1500.0
2026-08-10T16:09:23.116+00:00,16.0,25.189,584.875,3204.938,15.433,1.658,1.202,1.159,52.582,1500.0
2026-08-10T16:09:24.116+00:00,17.0,27.16,564.785,3225.027,14.903,1.658,1.202,1.159,53.069,1500.0
2026-08-10T16:09:25.116+00:00,18.0,27.182,566.18,3223.633,14.94,1.686,1.216,1.164,51.608,1500.0
2026-08-10T16:09:26.116+00:00,19.0,28.889,565.078,3224.734,14.91,1.686,1.216,1.164,53.556,1500.0
2026-08-10T16:09:27.116+00:00,20.0,26.733,564.113,3225.699,14.885,1.686,1.216,1.164,53.069,1500.0
